Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,8077000.0
Caja total,8077000.0
Cuentas pendientes netas,8221000.0
Inventario,5088000.0
Otros activos circulantes,1760000.0
Activos corrientes totales,24589000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",15524000.0
Depreciación acumulada,6076000.0
"Propiedad neta, planta y equipo",9448000.0
Valor llave,44020000.0
Activos intangibles,16670000.0
Otros activos a largo plazo,3999000.0
Total de activos no corrientes,74137000.0
Activos totales,98726000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,3609000.0
Cuentas a pagar,2872000.0
Obligaciones devengadas,4842000.0
Ingresos diferidos,2689000.0
Pasivos circulantes totales,14012000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,31308000.0
Obligaciones de impuestos diferidas,1922000.0
Otras obligaciones a largo plazo,4642000.0
Total de obligaciones no corrientes,37872000.0
Pasivos totales,51884000.0
Patrimonio neto,0.0
Acción ordinaria,442000.0
Ganancias retenidas,47364000.0
Otro ingreso integral acumulado,3224000.0
Total de patrimonio neto de los accionistas,46735000.0
Total de obligaciones y capital de los accionistas,98726000.0
