Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,5995000.0
Depreciación y amortización ,3406000.0
Impuestos sobre la renta diferidos,1300000.0
Compensación con base en acciones,278000.0
Cambio en el capital circulante,495000.0
Cuentas por cobrar,43000.0
Inventario,598000.0
Cuentas a pagar,500000.0
Otro capital circulante,6927000.0
Otros artículos no monetarios,562000.0
Efectivo neto proporcionado por actividades en curso,8406000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",1479000.0
Adquisiciones netas,3660000.0
Ventas/vencimientos de inversiones,70000.0
Otras actividades de inversión,160000.0
Efectivo neto usado para actividades de inversión,5142000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,7717000.0
Acción ordinaria emitida,0.0
Acción ordinaria readquirida,3000000.0
Dividendos pagados,523000.0
Otras actividades de financiación,56000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3622000.0
Cambio neto en efectivo,440000.0
Efectivo al inicio del periodo,8537000.0
Efectivo al final del periodo,8097000.0
Flujo de caja libre,0.0
Flujo de caja operativo,8406000.0
Inversiones en bienes de capital,1479000.0
Flujo de caja libre,6927000.0
