Descripcion,Valor
Ingresos totales,42857000.0
Costo de ganancias,25757000.0
Ganancia bruta,17100000.0
Gastos operativos,0.0
Investigación y desarrollo,1337000.0
Ventas: generales y administrativas,8445000.0
Gastos operativos totales,9782000.0
Ingresos o pérdidas operativos,7318000.0
Gastos de interés,1375000.0
Valor neto total de otros gastos/ingresos,524000.0
Ingreso antes de impuestos,6298000.0
Impuesto a las ganancias,284000.0
Ingreso de operaciones continuas,5955000.0
Ingresos netos,5995000.0
Ingreso neto disponible para accionistas comunes,5995000.0
EPS básicas,15.52
BPA diluido,15.45
Promedio de acciones básicas,386000.0
Promedio de acciones diluidas,388000.0
