Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,25427000.0
Otras inversiones a corto plazo,4201000.0
Caja total,29628000.0
Cuentas pendientes netas,21276000.0
Otros activos circulantes,9839000.0
Activos corrientes totales,78437000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",18489000.0
Depreciación acumulada,7039000.0
"Propiedad neta, planta y equipo",11450000.0
Acciones y otras inversiones,47609000.0
Valor llave,103732000.0
Activos intangibles,15194000.0
Otros activos a largo plazo,17298000.0
Total de activos no corrientes,195283000.0
Activos totales,273720000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,4274000.0
Cuentas a pagar,64353000.0
Ingresos diferidos,3355000.0
Otros pasivos circulantes,27072000.0
Pasivos circulantes totales,99054000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,58263000.0
Obligaciones de impuestos diferidas,3021000.0
Otras obligaciones a largo plazo,14463000.0
Total de obligaciones no corrientes,75747000.0
Pasivos totales,174801000.0
Patrimonio neto,0.0
Acción ordinaria,9000.0
Ganancias retenidas,95774000.0
Otro ingreso integral acumulado,7027000.0
Total de patrimonio neto de los accionistas,88756000.0
Total de obligaciones y capital de los accionistas,273720000.0
