Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,22381000.0
Depreciación y amortización ,3972000.0
Impuestos sobre la renta diferidos,245000.0
Compensación con base en acciones,1059000.0
Cambio en el capital circulante,1643000.0
Cuentas por cobrar,3114000.0
Cuentas a pagar,3516000.0
Otro capital circulante,25682000.0
Otros artículos no monetarios,505000.0
Efectivo neto proporcionado por actividades en curso,29068000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",3386000.0
Adquisiciones netas,10136000.0
Compras de inversiones,18314000.0
Ventas/vencimientos de inversiones,16537000.0
Otras actividades de inversión,275000.0
Efectivo neto usado para actividades de inversión,15574000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2125000.0
Acción ordinaria emitida,1353000.0
Acción ordinaria readquirida,8000000.0
Dividendos pagados,6761000.0
Otras actividades de financiación,2401000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,11529000.0
Cambio neto en efectivo,2062000.0
Efectivo al inicio del periodo,23365000.0
Efectivo al final del periodo,25427000.0
Flujo de caja libre,0.0
Flujo de caja operativo,29068000.0
Inversiones en bienes de capital,3386000.0
Flujo de caja libre,25682000.0
