Descripcion,Valor
Ingresos totales,371622000.0
Costo de ganancias,280664000.0
Ganancia bruta,90958000.0
Gastos operativos,0.0
Gastos operativos totales,58600000.0
Ingresos o pérdidas operativos,32358000.0
Gastos de interés,3246000.0
Valor neto total de otros gastos/ingresos,0.0
Ingreso antes de impuestos,29112000.0
Impuesto a las ganancias,5968000.0
Ingreso de operaciones continuas,23144000.0
Ingresos netos,22381000.0
Ingreso neto disponible para accionistas comunes,22381000.0
EPS básicas,24.12
BPA diluido,23.86
Promedio de acciones básicas,928000.0
Promedio de acciones diluidas,938000.0
