Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,853900.0
Caja total,853900.0
Cuentas pendientes netas,512000.0
Inventario,434700.0
Otros activos circulantes,135800.0
Activos corrientes totales,1936400.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",2837200.0
Depreciación acumulada,1324700.0
"Propiedad neta, planta y equipo",1512500.0
Acciones y otras inversiones,210000.0
Valor llave,108500.0
Activos intangibles,15100.0
Otros activos a largo plazo,21300.0
Total de activos no corrientes,1893100.0
Activos totales,3829500.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,134000.0
Cuentas a pagar,242400.0
Impuestos que se deben pagar,16600.0
Obligaciones devengadas,136000.0
Ingresos diferidos,41700.0
Otros pasivos circulantes,39500.0
Pasivos circulantes totales,671800.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,72800.0
Obligaciones de impuestos diferidas,12700.0
Otras obligaciones a largo plazo,58500.0
Total de obligaciones no corrientes,276700.0
Pasivos totales,948500.0
Patrimonio neto,0.0
Acción ordinaria,18800.0
Ganancias retenidas,3523400.0
Otro ingreso integral acumulado,143800.0
Total de patrimonio neto de los accionistas,2881000.0
Total de obligaciones y capital de los accionistas,3829500.0
