Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,593400.0
Depreciación y amortización ,137300.0
Impuestos sobre la renta diferidos,37500.0
Compensación con base en acciones,23300.0
Cambio en el capital circulante,20400.0
Cuentas por cobrar,4000.0
Inventario,13500.0
Cuentas a pagar,4400.0
Otro capital circulante,414500.0
Otros artículos no monetarios,1000.0
Efectivo neto proporcionado por actividades en curso,776500.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",362000.0
Adquisiciones netas,0.0
Otras actividades de inversión,6700.0
Efectivo neto usado para actividades de inversión,368700.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,2300.0
Acción ordinaria readquirida,451200.0
Dividendos pagados,57000.0
Otras actividades de financiación,100.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,459600.0
Cambio neto en efectivo,40400.0
Efectivo al inicio del periodo,894300.0
Efectivo al final del periodo,853900.0
Flujo de caja libre,0.0
Flujo de caja operativo,776500.0
Inversiones en bienes de capital,362000.0
Flujo de caja libre,414500.0
