Descripcion,Valor
Ingresos totales,2949800.0
Costo de ganancias,1820600.0
Ganancia bruta,1129200.0
Gastos operativos,0.0
Investigación y desarrollo,68400.0
Ventas: generales y administrativas,353400.0
Gastos operativos totales,421800.0
Ingresos o pérdidas operativos,707400.0
Gastos de interés,9000.0
Valor neto total de otros gastos/ingresos,28400.0
Ingreso antes de impuestos,698000.0
Impuesto a las ganancias,122300.0
Ingreso de operaciones continuas,593400.0
Ingresos netos,593400.0
Ingreso neto disponible para accionistas comunes,593400.0
EPS básicas,7.98
BPA diluido,7.88
Promedio de acciones básicas,74300.0
Promedio de acciones diluidas,75300.0
