Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,415800.0
Caja total,415800.0
Cuentas pendientes netas,1442400.0
Inventario,2385200.0
Otros activos circulantes,366100.0
Activos corrientes totales,4609500.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6766200.0
Depreciación acumulada,4705800.0
"Propiedad neta, planta y equipo",2060400.0
Valor llave,8818500.0
Activos intangibles,4856400.0
Otros activos a largo plazo,1152100.0
Total de activos no corrientes,16887400.0
Activos totales,21496900.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,900000.0
Cuentas a pagar,410600.0
Impuestos que se deben pagar,61200.0
Obligaciones devengadas,1044800.0
Ingresos diferidos,0.0
Otros pasivos circulantes,440800.0
Pasivos circulantes totales,2857400.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,5012600.0
Obligaciones de impuestos diferidas,357600.0
Otras obligaciones a largo plazo,652200.0
Total de obligaciones no corrientes,6151400.0
Pasivos totales,9008800.0
Patrimonio neto,0.0
Acción ordinaria,3200.0
Ganancias retenidas,10384500.0
Otro ingreso integral acumulado,191000.0
Total de patrimonio neto de los accionistas,12480500.0
Total de obligaciones y capital de los accionistas,21496900.0
