Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,1024000.0
Depreciación y amortización ,951700.0
Impuestos sobre la renta diferidos,96300.0
Compensación con base en acciones,99800.0
Cambio en el capital circulante,396200.0
Inventario,240400.0
Cuentas a pagar,0.0
Otro capital circulante,1204100.0
Efectivo neto proporcionado por actividades en curso,1581600.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",377500.0
Adquisiciones netas,134900.0
Compras de inversiones,311700.0
Ventas/vencimientos de inversiones,33400.0
Otras actividades de inversión,11800.0
Efectivo neto usado para actividades de inversión,778900.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,120200.0
Acción ordinaria readquirida,692200.0
Dividendos pagados,200900.0
Otras actividades de financiación,26100.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,763500.0
Cambio neto en efectivo,40100.0
Efectivo al inicio del periodo,375700.0
Efectivo al final del periodo,415800.0
Flujo de caja libre,0.0
Flujo de caja operativo,1581600.0
Inversiones en bienes de capital,377500.0
Flujo de caja libre,1204100.0
