Descripcion,Valor
Ingresos totales,7394200.0
Costo de ganancias,2083800.0
Ganancia bruta,5310400.0
Gastos operativos,0.0
Investigación y desarrollo,458700.0
Ventas: generales y administrativas,2838900.0
Gastos operativos totales,3859100.0
Ingresos o pérdidas operativos,1451300.0
Gastos de interés,201200.0
Valor neto total de otros gastos/ingresos,182900.0
Ingreso antes de impuestos,1067300.0
Impuesto a las ganancias,42200.0
Ingreso de operaciones continuas,1025100.0
Ingresos netos,1024000.0
Ingreso neto disponible para accionistas comunes,1024000.0
EPS básicas,4.91
BPA diluido,4.88
Promedio de acciones básicas,208700.0
Promedio de acciones diluidas,209700.0
