Descripcion,Valor
Activos,0.0
Activos corrientes,0.0
Efectivo,0.0
Caja y equivalentes de caja,2039000.0
Otras inversiones a corto plazo,0.0
Caja total,2039000.0
Cuentas pendientes netas,1304000.0
Inventario,2564000.0
Otros activos circulantes,434000.0
Activos corrientes totales,6343000.0
Activos no corrientes,0.0
"Propiedad, planta y equipo",0.0
"Propiedad bruta, planta y equipo",6028000.0
Depreciación acumulada,2594000.0
"Propiedad neta, planta y equipo",3434000.0
Valor llave,2759000.0
Activos intangibles,1338000.0
Otros activos a largo plazo,206000.0
Total de activos no corrientes,7943000.0
Activos totales,14286000.0
Patrimonio neto y accionistas,0.0
Obligaciones,0.0
Pasivos circulantes,0.0
Deuda corriente,3000.0
Cuentas a pagar,411000.0
Impuestos que se deben pagar,110000.0
Obligaciones devengadas,683000.0
Otros pasivos circulantes,102000.0
Pasivos circulantes totales,1889000.0
Obligaciones no corrientes,0.0
Deuda a largo plazo,6564000.0
Obligaciones de impuestos diferidas,146000.0
Otras obligaciones a largo plazo,237000.0
Total de obligaciones no corrientes,7406000.0
Pasivos totales,9295000.0
Patrimonio neto,0.0
Acción ordinaria,5000.0
Ganancias retenidas,10295000.0
Otro ingreso integral acumulado,839000.0
Total de patrimonio neto de los accionistas,4997000.0
Total de obligaciones y capital de los accionistas,14286000.0
