Descripcion,Valor
Flujos de caja provenientes de actividades operativas,0.0
Ingresos netos,2344000.0
Depreciación y amortización ,491000.0
Impuestos sobre la renta diferidos,61000.0
Compensación con base en acciones,60000.0
Cambio en el capital circulante,512000.0
Cuentas por cobrar,102000.0
Inventario,361000.0
Cuentas a pagar,13000.0
Otro capital circulante,1621000.0
Otros artículos no monetarios,8000.0
Efectivo neto proporcionado por actividades en curso,2353000.0
Flujos de caja provenientes de actividades de inversión ,0.0
"Inversiones en propiedad, planta y equipo",732000.0
Adquisiciones netas,155000.0
Compras de inversiones,4000.0
Ventas/vencimientos de inversiones,12000.0
Otras actividades de inversión,6000.0
Efectivo neto usado para actividades de inversión,777000.0
Flujos de caja provenientes de actividades financieras,0.0
Pago de deudas,1350000.0
Acción ordinaria readquirida,1092000.0
Dividendos pagados,692000.0
Otras actividades de financiación,24000.0
Efectivo neto usado que fue proporcionado (usado para) actividades financieras,3109000.0
Cambio neto en efectivo,1540000.0
Efectivo al inicio del periodo,3581000.0
Efectivo al final del periodo,2041000.0
Flujo de caja libre,0.0
Flujo de caja operativo,2353000.0
Inversiones en bienes de capital,732000.0
Flujo de caja libre,1621000.0
