Descripcion,Valor
Ingresos totales,8544000.0
Costo de ganancias,2561000.0
Ganancia bruta,5983000.0
Gastos operativos,0.0
Investigación y desarrollo,614000.0
Ventas: generales y administrativas,2151000.0
Gastos operativos totales,2914000.0
Ingresos o pérdidas operativos,3069000.0
Gastos de interés,239000.0
Valor neto total de otros gastos/ingresos,1000.0
Ingreso antes de impuestos,2936000.0
Impuesto a las ganancias,596000.0
Ingreso de operaciones continuas,2340000.0
Ingresos netos,2344000.0
Ingreso neto disponible para accionistas comunes,2344000.0
EPS básicas,5.08
BPA diluido,5.07
Promedio de acciones básicas,461172.0
Promedio de acciones diluidas,462269.0
