Razón,Valor
EfecAct,0.09512215038118639
CliAct,0.0828068977292129
InvAct,0
AcAcT,0.24498370585920973
InmAct,0.037034837541106515
OaAct,0.06319454239074761
PacAct,0.2809050485854904
PrsAct,0.38745165576678964
PalAct,0.6419149141495498
TopAct,0.9228199627350402
tocact,0.0769053752106361
cosvta,0.37584226223351375
uopvta,0.24918075039581722
gfinvta,0.040944070105673996
uaivta,0.1150631466548842
impvta,0.025350712471004087
utnvta,0.0887366987002467
Acpc,0.8721228297349436
Acinvpc,0.8721228297349436
rotinv,N/A
rotcxc,4.869385925593904
rotact,0.40321874234472316
intact,2.480043447844177
pascc,11.999420849420849
multcap,13.002992277992277
paslpcc,8.346814671814672
cobinter,6.085881294964029
roe,0.46525096525096526
roa,0.035780300049736105
ros,0.0887366987002467
upa,2.718556119571348
diainv,0
diacxc,0
