Razón,Valor
EfecAct,0.09418963586199361
CliAct,0.08966864260933702
InvAct,0
AcAcT,0.3096402327423717
InmAct,0.1386893217144262
OaAct,0.09693501242931679
PacAct,0.18904854262845905
PrsAct,0.18574316387576148
PalAct,0.28062938782200125
TopAct,0.4696779304504603
tocact,0.5272625454148113
cosvta,0.44815378094691966
uopvta,0.16150988556184398
gfinvta,0.015881722306714204
uaivta,0.16614724874716397
impvta,0.023461068588097433
utnvta,0.14268618015906653
Acpc,1.6378874358789104
Acinvpc,1.6378874358789104
rotinv,N/A
rotcxc,6.109520182787509
rotact,0.5478323817849046
intact,1.825375850806552
pascc,0.8907856902313291
multcap,1.8965883480558507
paslpcc,0.532238427065254
cobinter,10.169544740973313
roe,0.14825272647203586
roa,0.07816810992433142
ros,0.14268618015906653
upa,3.272155517438536
diainv,0
diacxc,0
