Razón,Valor
EfecAct,0.11264590238178562
CliAct,0.07480906601889784
InvAct,0
AcAcT,0.3122053646787574
InmAct,0.06115033863762686
OaAct,0.09892541737859481
PacAct,0.1893076970582786
PrsAct,0.6502048294460341
PalAct,0.7465467196409824
TopAct,0.935854416699261
tocact,0.06414558330073904
cosvta,0.29978715856686766
uopvta,0.28013479957431714
gfinvta,0.1019865200425683
uaivta,0.2786449095423909
impvta,0.04036892515076268
utnvta,0.23827598439162823
Acpc,1.64919530230535
Acinvpc,1.64919530230535
rotinv,N/A
rotcxc,3.8786461199779856
rotact,0.2901578936533751
intact,3.446399432422845
pascc,14.589537869062902
multcap,15.5895378690629
paslpcc,11.63831835686778
cobinter,2.746782608695652
roe,1.077824133504493
roa,0.06913765773925933
ros,0.23827598439162823
upa,12.485130111524164
diainv,0
diacxc,0
