Razón,Valor
EfecAct,0.039109995231851234
CliAct,0.07822744069614972
InvAct,0
AcAcT,0.2555168971271904
InmAct,0.13893565979258554
OaAct,0.02775211586601502
PacAct,0.1279316664679938
PrsAct,0.2528683394921922
PalAct,0.32077348313267373
TopAct,0.44870514960066754
tocact,0.5512948503993325
cosvta,0.25757452519419255
uopvta,0.18617064541054942
gfinvta,0.025102688193907846
uaivta,0.13184757411850828
impvta,0.01375615112448656
utnvta,0.11805075440237504
Acpc,1.997292024575605
Acinvpc,1.997292024575605
rotinv,N/A
rotcxc,4.683619047619048
rotact,0.3663875312909763
intact,2.7293505225914028
pascc,0.8139113747854643
multcap,1.8139113747854643
paslpcc,0.5818546697839102
cobinter,7.4163628999594975
roe,0.07845588334662217
roa,0.04325232447252354
ros,0.11805075440237504
upa,7.974587912087912
diainv,0
diacxc,0
