Razón,Valor
EfecAct,0.12047205203921857
CliAct,0.09333851763889911
InvAct,0
AcAcT,0.33386227261740875
InmAct,0.08444813417543269
OaAct,0.012064019167918957
PacAct,0.23394529156464444
PrsAct,0.38517638899105705
PalAct,0.45620487815130467
TopAct,0.6901501697159491
tocact,0.3092718502716506
cosvta,0.23759054348309114
uopvta,0.1820868328667289
gfinvta,0.02590765675687686
uaivta,0.18753055148202463
impvta,0.008887703861707327
utnvta,0.17830955872550328
Acpc,1.4270954990566884
Acinvpc,1.4270954990566884
rotinv,N/A
rotcxc,5.067102004053141
rotact,0.4729557897834151
intact,2.114362529440519
pascc,2.231532449881074
multcap,3.2334012911994563
paslpcc,1.4750934420659192
cobinter,7.028301886792453
roe,0.2726809378185525
roa,0.08433253817295264
ros,0.17830955872550328
upa,3.861886429258903
diainv,0
diacxc,0
