Razón,Valor
EfecAct,0.2031285074609232
CliAct,0.18350444819886344
InvAct,0
AcAcT,0.48151605014118454
InmAct,0.028532271594144683
OaAct,0.018017272952824282
PacAct,0.4337850450727189
PrsAct,0.209236658357061
PalAct,0.25955506196760436
TopAct,0.6933401070403232
tocact,0.3052893987547406
cosvta,0.8875642049623699
uopvta,0.022461184812888394
gfinvta,0.004707822778069987
uaivta,0.02336378807654595
impvta,0.005837700244806785
utnvta,0.017545568477717387
Acpc,1.1100337727421288
Acinvpc,1.1100337727421288
rotinv,N/A
rotcxc,9.91494978109709
rotact,1.8194373884996633
intact,0.5496204520808576
pascc,2.27109133126935
multcap,3.2755804953560372
paslpcc,0.8501934984520124
cobinter,4.771034482758621
roe,0.10456656346749225
roa,0.03192306329084014
ros,0.017545568477717387
upa,4.9514022253822585
diainv,0
diacxc,0
