Razón,Valor
EfecAct,0.0694063062210018
CliAct,0.04642079348546539
InvAct,0
AcAcT,0.1649583372786668
InmAct,0.053889309724457914
OaAct,0.04313038538017233
PacAct,0.09793106713379415
PrsAct,0.19774405832780986
PalAct,0.2689612726067607
TopAct,0.36689233974055485
tocact,0.6330603162579301
cosvta,0.41255755546253664
uopvta,0.22097111762243615
gfinvta,0.01197153620761825
uaivta,0.21113436584344913
impvta,0.03444956048555881
utnvta,0.19853495186270406
Acpc,1.6844331641285957
Acinvpc,1.6844331641285957
rotinv,N/A
rotcxc,6.0912799592044875
rotact,0.2827620490483856
intact,3.5365424863959816
pascc,0.5795535280260256
multcap,1.5796283139513143
paslpcc,0.4248588415660173
cobinter,18.458041958041957
roe,0.0886774109112665
roa,0.056138149796420796
ros,0.19853495186270406
upa,6.382721033508276
diainv,0
diacxc,0
