Razón,Valor
EfecAct,0.07684722992543291
CliAct,0.1028840820854132
InvAct,0
AcAcT,0.2899488506809638
InmAct,0.07703210698219018
OaAct,0.010414740863992113
PacAct,0.27673014112282
PrsAct,0.25993714180070254
PalAct,0.4980279780612559
TopAct,0.7747581191840759
tocact,0.21978800764158501
cosvta,0.5948240589198036
uopvta,0.12453968903436989
gfinvta,0.027720949263502454
uaivta,0.12075490998363339
impvta,0.03800122749590835
utnvta,0.07083674304418985
Acpc,1.0477675091860594
Acinvpc,1.0477675091860594
rotinv,N/A
rotcxc,5.855645402815214
rotact,0.602452702286313
intact,1.6598813420621932
pascc,3.525024533856722
multcap,4.549838777512968
paslpcc,2.26594700686948
cobinter,4.492619926199262
roe,0.19416795177344737
roa,0.042675787268133356
ros,0.07083674304418985
upa,3.024017467248908
diainv,0
diacxc,0
