Razón,Valor
EfecAct,0.0979476861167002
CliAct,0.07501006036217304
InvAct,0
AcAcT,0.25891348088531185
InmAct,0.08558551307847083
OaAct,0.07713480885311871
PacAct,0.18156941649899397
PrsAct,0.3732635814889336
PalAct,0.4522494969818914
TopAct,0.6338189134808853
tocact,0.367533199195171
cosvta,0.23963711461867532
uopvta,0.3249004277917097
gfinvta,0.03481339430594483
uaivta,0.25295028765304617
impvta,0.045987608791857204
utnvta,0.20891724443133206
Acpc,1.4259751773049645
Acinvpc,1.4259751773049645
rotinv,N/A
rotcxc,5.818884120171674
rotact,0.4364748490945674
intact,2.291082755568668
pascc,1.7245215258616915
multcap,2.7208426400385406
paslpcc,1.2304997153243113
cobinter,9.332627118644067
roe,0.24810581176367538
roa,0.0911871227364185
ros,0.20891724443133206
upa,4.503179650238474
diainv,0
diacxc,0
