Razón,Valor
EfecAct,0.1304563196027644
CliAct,0.08876329390420033
InvAct,0
AcAcT,0.31926258370235977
InmAct,0.1187529094403132
OaAct,0.0844662743646976
PacAct,0.27621480323231357
PrsAct,0.15445994819704223
PalAct,0.31333627758746224
TopAct,0.5895510808197758
tocact,0.41044891918022414
cosvta,0.3118049765732336
uopvta,0.2748858018530044
gfinvta,0.009065395319343816
uaivta,0.1768691506476121
impvta,0.020385396728472623
utnvta,0.41279254101151963
Acpc,1.1558489261483946
Acinvpc,1.1558489261483946
rotinv,N/A
rotcxc,5.725744637934512
rotact,0.5082359541173802
intact,1.9675900374593407
pascc,1.4363567627301015
multcap,2.4363567627301017
paslpcc,0.76339895890889
cobinter,30.322538860103627
roe,0.511137930031698
roa,0.20979601093352748
ros,0.41279254101151963
upa,13.729495391345102
diainv,0
diacxc,0
