Razón,Valor
EfecAct,0.044036290177685636
CliAct,0.14202508190599988
InvAct,0
AcAcT,0.4019448085579076
InmAct,0.20175513972843298
OaAct,0.07795951336040359
PacAct,0.42641427484482
PrsAct,0.2862343238087501
PalAct,0.40385712031471904
TopAct,0.830271395159539
tocact,0.16829437102285244
cosvta,0.20754246998455636
uopvta,0.31611969253401556
gfinvta,0.014239203378257594
uaivta,0.19208125635547899
impvta,0.038512371022239415
utnvta,0.15356888533323956
Acpc,0.9426157431155013
Acinvpc,0.9426157431155013
rotinv,N/A
rotcxc,3.7538199218964854
rotact,0.5331365818677224
intact,1.8756919596414265
pascc,4.933447209870125
multcap,5.941969383302853
paslpcc,2.399706644138917
cobinter,22.200658571722578
roe,0.4864879919048636
roa,0.08187319060779955
ros,0.15356888533323956
upa,5.801497646365927
diainv,0
diacxc,0
