Razón,Valor
EfecAct,0.01696573866385187
CliAct,0.06594977349694331
InvAct,0
AcAcT,0.23832299775696003
InmAct,0.06123279236486784
OaAct,0.04353036900206712
PacAct,0.0995184061221797
PrsAct,0.267042705721951
PalAct,0.3324097286361437
TopAct,0.4319281347583234
tocact,0.5660707217310991
cosvta,0.34326063983091554
uopvta,0.18669740929323983
gfinvta,0.020366990104717073
uaivta,0.17177442597751946
impvta,0.05059723956832229
utnvta,0.12034457360617415
Acpc,2.3947630096121975
Acinvpc,2.3947630096121975
rotinv,N/A
rotcxc,5.2062354118039345
rotact,0.34335004618023485
intact,2.912479584974541
pascc,0.7630285725385079
multcap,1.7665637200629334
paslpcc,0.5872229668045763
cobinter,9.166666666666666
roe,0.07299496921313832
roa,0.04132031490522057
ros,0.12034457360617415
upa,2.819627851140456
diainv,0
diacxc,0
