Razón,Valor
EfecAct,0.012595970878715767
CliAct,0.04934636050171964
InvAct,0
AcAcT,0.19131482863210317
InmAct,0.08361993986781516
OaAct,0.05505935956132644
PacAct,0.21101010591564717
PrsAct,0.26710257349857175
PalAct,0.394784128988393
TopAct,0.6057942349040402
tocact,0.39299605741255006
cosvta,0.42659327133479213
uopvta,0.05742272975929978
gfinvta,0.0377632658643326
uaivta,0.018086706783369804
impvta,0.01906113238512035
utnvta,0.03622469912472648
Acpc,0.9066619240908901
Acinvpc,0.9066619240908901
rotinv,N/A
rotcxc,5.233604723986758
rotact,0.2582593454333535
intact,3.8720767231947484
pascc,1.5414766216550206
multcap,2.5445547891342937
paslpcc,1.004549846091626
cobinter,1.520597555454957
roe,0.023805244118902644
roa,0.009355367084472033
ros,0.03622469912472648
upa,0.3755094808
diainv,0
diacxc,0
