Razón,Valor
EfecAct,0.08252670781917884
CliAct,0.17132000411122061
InvAct,0
AcAcT,0.5888477095059885
InmAct,0.1253438612825799
OaAct,0.013424949063185834
PacAct,0.10348788701398419
PrsAct,0.05994220107496327
PalAct,0.11135664234194473
TopAct,0.21484452935592893
tocact,0.7851554706440711
cosvta,0.13842893300399475
uopvta,0.3227213124752234
gfinvta,0.005565212087945598
uaivta,0.3201369194645199
impvta,0.018731131643948403
utnvta,0.3014057878205715
Acpc,5.690015773792137
Acinvpc,5.690015773792137
rotinv,N/A
rotcxc,2.314541315970568
rotact,0.3965272277676677
intact,2.5218949165980544
pascc,0.27363310502019395
multcap,1.273633105020194
paslpcc,0.14182750615059428
cobinter,57.989041095890414
roe,0.15221902660829859
roa,0.11951560147762105
ros,0.3014057878205715
upa,34.77220756376429
diainv,0
diacxc,0
