Razón,Valor
EfecAct,0.033753088848036676
CliAct,0.10440454474630716
InvAct,0
AcAcT,0.3507008893157109
InmAct,0.09861371374472948
OaAct,0.03887208984748748
PacAct,0.11234683134993398
PrsAct,0.21198102761553075
PalAct,0.27597046554738447
TopAct,0.3883172968973184
tocact,0.6116827031026816
cosvta,0.44218188379663426
uopvta,0.27279159591313556
gfinvta,0.0
uaivta,0.2608727980368426
impvta,0.048332545187737705
utnvta,0.21254025284910488
Acpc,3.121591282119565
Acinvpc,3.121591282119565
rotinv,N/A
rotcxc,5.9908342778997
rotact,0.62547032543469
intact,1.5987968722657129
pascc,0.6348345227478709
multcap,1.6348345227478709
paslpcc,0.451166044335666
cobinter,N/A
roe,0.2173310123748669
roa,0.13293762111750093
ros,0.21254025284910488
upa,6.0869824692279
diainv,0
diacxc,0
