Razón,Valor
EfecAct,0.08181228855620606
CliAct,0.08327087089520491
InvAct,0
AcAcT,0.24906306342807366
InmAct,0.09569920790875758
OaAct,0.04050604703928043
PacAct,0.1419281648198043
PrsAct,0.31712011020399894
PalAct,0.3836071551566963
TopAct,0.5255353199765006
tocact,0.4733808723132711
cosvta,0.6009986699955666
uopvta,0.17075390251300837
gfinvta,0.03208344027813426
uaivta,0.1469538231794106
impvta,0.0066266887556291855
utnvta,0.13988379961266537
Acpc,1.7548529831572937
Acinvpc,1.7548529831572937
rotinv,N/A
rotcxc,5.213112760004866
rotact,0.4341004396005105
intact,2.3036143453811513
pascc,1.110174387504012
multcap,2.1124638921579115
paslpcc,0.8103562640419386
cobinter,5.322181818181818
roe,0.12827645233764845
roa,0.06072361890484776
ros,0.13988379961266537
upa,15.45103092783505
diainv,0
diacxc,0
