Razón,Valor
EfecAct,0.0928941984509718
CliAct,0.07772906619903551
InvAct,0
AcAcT,0.28655925763553997
InmAct,0.04183106824492182
OaAct,0.06319596668128014
PacAct,0.36188075405523895
PrsAct,0.21285620341955283
PalAct,0.2767316966242876
TopAct,0.6386124506795265
tocact,0.324258366213649
cosvta,0.7552405401187228
uopvta,0.08707234770815506
gfinvta,0.008734682015596493
uaivta,0.07833766569255857
impvta,0.016059329103228548
utnvta,0.06022517504345814
Acpc,0.7918610051083248
Acinvpc,0.7918610051083248
rotinv,N/A
rotcxc,17.466723068245912
rotact,1.357672073651907
intact,0.736554886416843
pascc,1.9694555861012213
multcap,3.083960520978863
paslpcc,0.8534296272928027
cobinter,9.968576709796674
roe,0.25216323403488217
roa,0.08176603828730089
ros,0.06022517504345814
upa,23.860341151385928
diainv,0
diacxc,0
