Razón,Valor
EfecAct,0.2229795012403708
CliAct,0.13369891630761196
InvAct,0
AcAcT,0.5056534795665231
InmAct,0.3949601775688732
OaAct,0.005562083822953388
PacAct,0.17542760151455802
PrsAct,0.019010314662488575
PalAct,0.07225486355921139
TopAct,0.24768246507376943
tocact,0.7523175349262305
cosvta,0.6171943860600718
uopvta,0.23981286866906232
gfinvta,0.003051054308766696
uaivta,0.23662621194657266
impvta,0.04146043799579632
utnvta,0.20116618075801748
Acpc,2.88240547782078
Acinvpc,2.88240547782078
rotinv,N/A
rotcxc,5.761328125
rotact,0.770283326805066
intact,1.2982236083802292
pascc,0.3292259632072197
multcap,1.3292259632072199
paslpcc,0.096043040610899
cobinter,78.6
roe,0.20597014925373133
roa,0.15495495495495495
ros,0.20116618075801748
upa,7.8804780876494025
diainv,0
diacxc,0
