Razón,Valor
EfecAct,0.14272714545709086
CliAct,0.09127817443651128
InvAct,0
AcAcT,0.44400111997760044
InmAct,0.24037519249615008
OaAct,0.014419711605767885
PacAct,0.13222735545289094
PrsAct,0.4594708105837883
PalAct,0.5184096318073639
TopAct,0.6506369872602548
tocact,0.3497830043399132
cosvta,0.2997425093632959
uopvta,0.3591994382022472
gfinvta,0.027972846441947564
uaivta,0.34363295880149813
impvta,0.06975655430711611
utnvta,0.2743445692883895
Acpc,3.3578613022763366
Acinvpc,3.3578613022763366
rotinv,N/A
rotcxc,6.552147239263804
rotact,0.5980680386392272
intact,1.6720505617977528
pascc,1.860116069641785
multcap,2.8589153492095254
paslpcc,1.4820892535521313
cobinter,12.841004184100418
roe,0.46908144886932157
roa,0.16407671846563068
ros,0.2743445692883895
upa,5.0706406875650325
diainv,0
diacxc,0
