Razón,Valor
EfecAct,0.023469568862320673
CliAct,0.05216173044171126
InvAct,0
AcAcT,0.0905815846018481
InmAct,0.2253909391981451
OaAct,0.04657283874159306
PacAct,0.15179883010902115
PrsAct,0.35882572853846706
PalAct,0.5330065593951913
TopAct,0.6848053895042124
tocact,0.31230953396951033
cosvta,0.30238870792616723
uopvta,0.19176290593228704
gfinvta,0.03361793834106538
uaivta,0.1684433915704274
impvta,0.04417958082453197
utnvta,0.126575198236436
Acpc,0.5967212299119359
Acinvpc,0.5967212299119359
rotinv,N/A
rotcxc,8.801274162021285
rotact,0.4590896903829524
intact,2.1782236041193697
pascc,2.1927136863233496
multcap,3.2019515616120335
paslpcc,1.7066611852048899
cobinter,5.704183998042574
roe,0.1860633834322818
roa,0.058109368568526235
ros,0.126575198236436
upa,3.7097396335583412
diainv,0
diacxc,0
