Razón,Valor
EfecAct,0.059762619535179626
CliAct,0.11919720073957733
InvAct,0
AcAcT,0.42627587029563213
InmAct,0.3688840732420128
OaAct,0.02497813077794787
PacAct,0.2033191514741844
PrsAct,0.02949859838167757
PalAct,0.0924446808087636
TopAct,0.29576383228294795
tocact,0.704236167717052
cosvta,0.4337495201597949
uopvta,0.27421810445226646
gfinvta,0.0010019714112832392
uaivta,0.2788505956524851
impvta,0.03878410118609992
utnvta,0.24006649446638517
Acpc,2.096584936563424
Acinvpc,2.096584936563424
rotinv,N/A
rotcxc,6.408848302893837
rotact,0.7639167776695361
intact,1.3090431173022246
pascc,0.41997819175027085
multcap,1.419978191750271
paslpcc,0.1312694306917591
cobinter,273.67857142857144
roe,0.26041096905557576
roa,0.18339082287918249
ros,0.24006649446638517
upa,5.800581669548813
diainv,0
diacxc,0
