Razón,Valor
EfecAct,0.32671968635913357
CliAct,0.10847484107330144
InvAct,0
AcAcT,0.5021354411190705
InmAct,0.1943925370837701
OaAct,0.016316518074692598
PacAct,0.5221704677744023
PrsAct,0.28620179935614076
PalAct,0.40019177893309993
TopAct,0.9223622467075022
tocact,0.0008990227295783353
cosvta,0.7601195881695927
uopvta,0.04626896225617633
gfinvta,0.015395968002740155
uaivta,0.039322217656956836
impvta,0.007043232047301444
utnvta,0.013883730559043
Acpc,0.9616312528344905
Acinvpc,0.9616312528344905
rotinv,N/A
rotcxc,10.994915067465614
rotact,1.19267166455778
intact,0.838453725125415
pascc,1025.9609867039887
multcap,1112.3189293212038
paslpcc,445.1408910660135
cobinter,3.0052649010404173
roe,18.418591089339866
roa,0.01655873203612553
ros,0.013883730559043
upa,N/A
diainv,0
diacxc,0
