Razón,Valor
EfecAct,0.04594438115159778
CliAct,0.13288385036325945
InvAct,0
AcAcT,0.23724856657266122
InmAct,0.05320956987841548
OaAct,0.3295295370076387
PacAct,0.18034103430887324
PrsAct,0.27269671105466636
PalAct,0.3891638496161963
TopAct,0.5695048839250696
tocact,0.420708589358086
cosvta,0.7550249561581006
uopvta,0.018615944961554026
gfinvta,0.031026574935923378
uaivta,0.042256846081208686
impvta,0.012174558208552544
utnvta,0.020504519088088494
Acpc,1.3155550952775477
Acinvpc,1.3155550952775477
rotinv,N/A
rotcxc,4.167533380182713
rotact,0.5537978820760884
intact,1.8057129367327667
pascc,1.3536801917783894
multcap,2.376942200124301
paslpcc,0.9250199769155643
cobinter,0.6
roe,0.026991032584568943
roa,0.011355359243972135
ros,0.020504519088088494
upa,0.9325153374233128
diainv,0
diacxc,0
