Razón,Valor
EfecAct,0.024725301181614198
CliAct,0.022592232355235407
InvAct,0
AcAcT,0.09155824770562687
InmAct,0.341083964907888
OaAct,0.020362862453173602
PacAct,0.1007694455947073
PrsAct,0.34379002513458073
PalAct,0.5876243487639757
TopAct,0.688393794358683
tocact,0.311606205641317
cosvta,0.3842765854527865
uopvta,0.18128007332162224
gfinvta,0.04245271009954429
uaivta,0.14001120191450903
impvta,0.03414038035591537
utnvta,0.10587082155859365
Acpc,0.9085913608562691
Acinvpc,0.9085913608562691
rotinv,N/A
rotcxc,16.742966751918157
rotact,0.3782609951753161
intact,2.6436772830265536
pascc,2.2091787066367923
multcap,3.209178706636792
paslpcc,1.8857915475546627
cobinter,4.270164917541229
roe,0.12851734528316464
roa,0.040046802322781946
ros,0.10587082155859365
upa,6.9291818783190005
diainv,0
diacxc,0
