Razón,Valor
EfecAct,0.001451378809869376
CliAct,0.15170727981055687
InvAct,0
AcAcT,0.3098311817279047
InmAct,0.037659460698189595
OaAct,0.0005347185088992437
PacAct,0.47872584218165154
PrsAct,0.13948514246428845
PalAct,0.29340768466885647
TopAct,0.772133526850508
tocact,0.22626231762279428
cosvta,0.5588764854159165
uopvta,0.12702556715880448
gfinvta,0.010172848397551315
uaivta,0.1549333813467771
impvta,0.04123154483255311
utnvta,0.11334173568599208
Acpc,0.6471996170416467
Acinvpc,0.6471996170416467
rotinv,N/A
rotcxc,5.593152064451158
rotact,0.8485218852646856
intact,1.178519985595967
pascc,3.412559081701553
multcap,4.419648885887914
paslpcc,1.2967589466576637
cobinter,12.486725663716815
roe,0.425050641458474
roa,0.0961729432434497
ros,0.11334173568599208
upa,0.34174809989142235
diainv,0
diacxc,0
